gene,gene_description
FMNL2,formin like 2 [Source:HGNC Symbol;Acc:HGNC:18267]
NFXL1,"nuclear transcription factor, X-box binding like 1 [Source:HGNC Symbol;Acc:HGNC:18726]"
UAP1L1,UDP-N-acetylglucosamine pyrophosphorylase 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28082]
PHACTR1,phosphatase and actin regulator 1 [Source:HGNC Symbol;Acc:HGNC:20990]
VSIG4,V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:17032]
AC126323.1,golgin subfamily A pseudogene
GSTM2,glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]
EGR2,early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]
FBP1,fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]
DTX4,deltex E3 ubiquitin ligase 4 [Source:HGNC Symbol;Acc:HGNC:29151]
VNN2,vanin 2 [Source:HGNC Symbol;Acc:HGNC:12706]
PTGER2,prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]
DENND2D,DENN domain containing 2D [Source:HGNC Symbol;Acc:HGNC:26192]
PGBD5,piggyBac transposable element derived 5 [Source:HGNC Symbol;Acc:HGNC:19405]
EMP1,epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]
RASGRF1,Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]
ATP1B1,ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]
PBX3,PBX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:8634]
ARHGEF12,Rho guanine nucleotide exchange factor 12 [Source:HGNC Symbol;Acc:HGNC:14193]
SIGLEC6,sialic acid binding Ig like lectin 6 [Source:HGNC Symbol;Acc:HGNC:10875]
NLRP1,NLR family pyrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14374]
SMS,spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]
TLR8,toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]
GNPDA1,glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]
CNTNAP4,contactin associated protein like 4 [Source:HGNC Symbol;Acc:HGNC:18747]
CRIM1,cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]
LRRK2,leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]
UBE2H,ubiquitin conjugating enzyme E2 H [Source:HGNC Symbol;Acc:HGNC:12484]
FRMD4B,FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]
SIPA1L2,signal induced proliferation associated 1 like 2 [Source:HGNC Symbol;Acc:HGNC:23800]
CD1C,CD1c molecule [Source:HGNC Symbol;Acc:HGNC:1636]
EPHB2,EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]
CFD,complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]
STEAP3,STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]
ACVR1B,activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]
PI4K2A,phosphatidylinositol 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:30031]
RHEX,regulator of hemoglobinization and erythroid cell expansion [Source:HGNC Symbol;Acc:HGNC:25341]
S100A8,S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]
FLNA,filamin A [Source:HGNC Symbol;Acc:HGNC:3754]
RASAL2,RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]
MDFIC,MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:HGNC:28870]
PRDX1,peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]
MPEG1,macrophage expressed 1 [Source:HGNC Symbol;Acc:HGNC:29619]
INSIG1,insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]
S100A9,S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]
SYNE2,spectrin repeat containing nuclear envelope protein 2 [Source:HGNC Symbol;Acc:HGNC:17084]
MNDA,myeloid cell nuclear differentiation antigen [Source:HGNC Symbol;Acc:HGNC:7183]
LYZ,lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]
LAIR1,leukocyte associated immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:6477]
ADD3,adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]
NAMPTP1,nicotinamide phosphoribosyltransferase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17633]
ESYT1,extended synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:29534]
NRCAM,neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]
FNIP2,folliculin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29280]
LILRA1,leukocyte immunoglobulin like receptor A1 [Source:HGNC Symbol;Acc:HGNC:6602]
LINC00963,long intergenic non-protein coding RNA 963 [Source:HGNC Symbol;Acc:HGNC:48716]
SLC35F2,solute carrier family 35 member F2 [Source:HGNC Symbol;Acc:HGNC:23615]
TNFAIP8L3,TNF alpha induced protein 8 like 3 [Source:HGNC Symbol;Acc:HGNC:20620]
ARL4C,ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]
SUCNR1,succinate receptor 1 [Source:HGNC Symbol;Acc:HGNC:4542]
LAMB3,laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]
NFE2,"nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]"
LIMS1,LIM zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6616]
SPRY2,sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]
VDAC1,voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669]
RAB44,"RAB44, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21068]"
TULP4,tubby like protein 4 [Source:HGNC Symbol;Acc:HGNC:15530]
RAB7B,"RAB7B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30513]"
IL23R,interleukin 23 receptor [Source:HGNC Symbol;Acc:HGNC:19100]
NCF1B,neutrophil cytosolic factor 1B pseudogene [Source:HGNC Symbol;Acc:HGNC:32522]
P2RY13,purinergic receptor P2Y13 [Source:HGNC Symbol;Acc:HGNC:4537]
IL9R,interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]
FAM102A,family with sequence similarity 102 member A [Source:HGNC Symbol;Acc:HGNC:31419]
PKM,pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]
IL18BP,interleukin 18 binding protein [Source:HGNC Symbol;Acc:HGNC:5987]
CDC42EP3,CDC42 effector protein 3 [Source:HGNC Symbol;Acc:HGNC:16943]
CXCL16,C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]
GPAT3,glycerol-3-phosphate acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28157]
DUSP2,dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]
MMP2,matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]
DBI,"diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]"
SYCP2L,synaptonemal complex protein 2 like [Source:HGNC Symbol;Acc:HGNC:21537]
CSF3R,colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]
P2RY14,purinergic receptor P2Y14 [Source:HGNC Symbol;Acc:HGNC:16442]
TRIB3,tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]
DTX1,deltex E3 ubiquitin ligase 1 [Source:HGNC Symbol;Acc:HGNC:3060]
FLOT1,flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]
DAGLA,diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]
LILRB2,leukocyte immunoglobulin like receptor B2 [Source:HGNC Symbol;Acc:HGNC:6606]
SLC3A2,solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]
SFXN3,sideroflexin 3 [Source:HGNC Symbol;Acc:HGNC:16087]
AC107884.1,uncharacterized LOC100506258 [Source:NCBI gene;Acc:100506258]
SIRPB2,signal regulatory protein beta 2 [Source:HGNC Symbol;Acc:HGNC:16247]
LPCAT2,lysophosphatidylcholine acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26032]
VNN1,vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]
METTL7A,methyltransferase like 7A [Source:HGNC Symbol;Acc:HGNC:24550]
GALNT6,polypeptide N-acetylgalactosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4128]
ZMIZ1,zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]
UBASH3B,ubiquitin associated and SH3 domain containing B [Source:HGNC Symbol;Acc:HGNC:29884]
IMPA2,inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]
TFEC,transcription factor EC [Source:HGNC Symbol;Acc:HGNC:11754]
EMILIN2,elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]
TNFRSF14,TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]
DHCR24,24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]
RRAGD,Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]
CTDSP2,CTD small phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:17077]
GSR,glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]
HK3,hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]
MGAT4B,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B [Source:HGNC Symbol;Acc:HGNC:7048]"
ZNF467,zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]
LINC00504,long intergenic non-protein coding RNA 504 [Source:HGNC Symbol;Acc:HGNC:43555]
DUSP10,dual specificity phosphatase 10 [Source:HGNC Symbol;Acc:HGNC:3065]
ERMP1,endoplasmic reticulum metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:23703]
PIM1,"Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]"
CPD,carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]
CD84,CD84 molecule [Source:HGNC Symbol;Acc:HGNC:1704]
VWA5A,von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]
GAS7,growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]
TSC22D3,TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]
CST3,cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]
CDKN2B,cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]
PYGL,glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725]
CXCL8,C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]
MACC1,"MACC1, MET transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:30215]"
HEXB,hexosaminidase subunit beta [Source:HGNC Symbol;Acc:HGNC:4879]
BORCS7,BLOC-1 related complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:23516]
RGS12,regulator of G protein signaling 12 [Source:HGNC Symbol;Acc:HGNC:9994]
PHLDA1,pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]
JUN,"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]"
NRROS,negative regulator of reactive oxygen species [Source:HGNC Symbol;Acc:HGNC:24613]
ATP2B1,ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]
C3AR1,complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]
TRAF3IP3,TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766]
SLC38A7,solute carrier family 38 member 7 [Source:HGNC Symbol;Acc:HGNC:25582]
TDRD3,tudor domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20612]
CAT,catalase [Source:HGNC Symbol;Acc:HGNC:1516]
LMO2,LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]
SYK,spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]
TIMP1,TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]
CKB,creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]
SOX13,SRY-box 13 [Source:HGNC Symbol;Acc:HGNC:11192]
SOD2,superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]
NHSL2,NHS like 2 [Source:HGNC Symbol;Acc:HGNC:33737]
ITGA4,integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]
ABTB1,ankyrin repeat and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18275]
TXNIP,thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]
TUBB,tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]
MMP9,matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]
LIMK1,LIM domain kinase 1 [Source:HGNC Symbol;Acc:HGNC:6613]
HMOX1,heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]
SNX9,sorting nexin 9 [Source:HGNC Symbol;Acc:HGNC:14973]
GOLGA2P11,GOLGA2 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:26788]
NLRP3,NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]
NPC2,NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]
MXD4,MAX dimerization protein 4 [Source:HGNC Symbol;Acc:HGNC:13906]
PLAUR,"plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]"
AC079466.1,uncharacterized LOC102724908 [Source:NCBI gene;Acc:102724908]
TMC6,transmembrane channel like 6 [Source:HGNC Symbol;Acc:HGNC:18021]
PTAFR,platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]
ANTXR2,ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]
BTBD11,BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:23844]
TBC1D14,TBC1 domain family member 14 [Source:HGNC Symbol;Acc:HGNC:29246]
MAFF,MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]
FES,"FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]"
MSRB1,methionine sulfoxide reductase B1 [Source:HGNC Symbol;Acc:HGNC:14133]
TSKU,"tsukushi, small leucine rich proteoglycan [Source:HGNC Symbol;Acc:HGNC:28850]"
MGAT1,"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]"
MGAT4A,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]"
BBOX1,gamma-butyrobetaine hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:964]
ITGAL,integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]
LITAF,lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]
IFI16,interferon gamma inducible protein 16 [Source:HGNC Symbol;Acc:HGNC:5395]
ADGRG5,adhesion G protein-coupled receptor G5 [Source:HGNC Symbol;Acc:HGNC:19010]
PIK3IP1,phosphoinositide-3-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24942]
G6PD,glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]
PLXNA3,plexin A3 [Source:HGNC Symbol;Acc:HGNC:9101]
CCL5,C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]
SDCBP,syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]
MAML3,mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]
FAM49A,family with sequence similarity 49 member A [Source:HGNC Symbol;Acc:HGNC:25373]
CD14,CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]
MRNIP,MRN complex interacting protein [Source:HGNC Symbol;Acc:HGNC:30817]
GLMP,glycosylated lysosomal membrane protein [Source:HGNC Symbol;Acc:HGNC:29436]
TTL,tubulin tyrosine ligase [Source:HGNC Symbol;Acc:HGNC:21586]
LDLRAD3,low density lipoprotein receptor class A domain containing 3 [Source:HGNC Symbol;Acc:HGNC:27046]
CORO1C,coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]
VAT1,vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]
DDX21,DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]
IGF2R,insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]
CD63,CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692]
NPM1,nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]
FOSL2,"FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]"
HAVCR2,hepatitis A virus cellular receptor 2 [Source:HGNC Symbol;Acc:HGNC:18437]
AOAH,acyloxyacyl hydrolase [Source:HGNC Symbol;Acc:HGNC:548]
SELL,selectin L [Source:HGNC Symbol;Acc:HGNC:10720]
APBB3,amyloid beta precursor protein binding family B member 3 [Source:HGNC Symbol;Acc:HGNC:20708]
ACOT11,acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156]
RNF13,ring finger protein 13 [Source:HGNC Symbol;Acc:HGNC:10057]
GPX4,glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]
PSAP,prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]
DENND3,DENN domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29134]
LILRA5,leukocyte immunoglobulin like receptor A5 [Source:HGNC Symbol;Acc:HGNC:16309]
CPM,carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311]
GBP2,guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]
ENOSF1,enolase superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:30365]
IL13RA1,interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]
HSPA8,heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]
HDAC7,histone deacetylase 7 [Source:HGNC Symbol;Acc:HGNC:14067]
RET,ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]
AOC1,"amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]"
TTC39C,tetratricopeptide repeat domain 39C [Source:HGNC Symbol;Acc:HGNC:26595]
SLC25A40,solute carrier family 25 member 40 [Source:HGNC Symbol;Acc:HGNC:29680]
CSF1R,colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]
MAML2,mastermind like transcriptional coactivator 2 [Source:HGNC Symbol;Acc:HGNC:16259]
DUSP4,dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]
FPR1,formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]
HLA-E,"major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]"
ITPR1,"inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]"
AL390719.1,uncharacterized LOC100288175 [Source:NCBI gene;Acc:100288175]
UPP1,uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]
PLAC8,placenta specific 8 [Source:HGNC Symbol;Acc:HGNC:19254]
KIAA0513,KIAA0513 [Source:HGNC Symbol;Acc:HGNC:29058]
FFAR4,free fatty acid receptor 4 [Source:HGNC Symbol;Acc:HGNC:19061]
ANKH,ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]
CLCN5,chloride voltage-gated channel 5 [Source:HGNC Symbol;Acc:HGNC:2023]
VSIR,V-set immunoregulatory receptor [Source:HGNC Symbol;Acc:HGNC:30085]
RNF144A,ring finger protein 144A [Source:HGNC Symbol;Acc:HGNC:20457]
HSP90AB1,heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]
PRXL2B,peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]
YES1,"YES proto-oncogene 1, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12841]"
PROK2,prokineticin 2 [Source:HGNC Symbol;Acc:HGNC:18455]
RUNX2,runt related transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10472]
ICAM1,intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]
SLC17A5,solute carrier family 17 member 5 [Source:HGNC Symbol;Acc:HGNC:10933]
CXCR2,C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]
